Disease,Description,Tips
COVID-19,"A viral respiratory illness caused by the coronavirus, with symptoms ranging from mild cough to severe breathing difficulty.",Stay up to date with vaccinations and boosters.; Wear a mask in crowded places.; Self-isolate if symptomatic or positive.; Monitor oxygen levels if breathing issues arise.; Maintain hand hygiene and surface disinfection.
Urinary Tract Infection (UTI),An infection in the urinary system that causes a burning sensation while urinating and frequent urges.,Drink plenty of water.; Wipe front to back to avoid bacteria spread.; Urinate before and after sex.; Avoid holding urine for long.; Complete the prescribed antibiotics course.
Typhoid,"A bacterial infection spread through contaminated food or water, causing fever, weakness, and abdominal pain.","Drink only clean, boiled or bottled water.; Practice good food hygiene.; Complete antibiotic treatment.; Rest and stay hydrated.; Get vaccinated if at risk."
Tuberculosis,"A bacterial infection mainly affecting the lungs, causing coughing, weight loss, and night sweats.",Complete all prescribed TB medications.; Avoid close contact until non-infectious.; Maintain a nutritious diet.; Use masks in public if infected.; Follow up with regular health checks.
Sinusitis,"Inflammation of the sinuses leading to facial pain, nasal congestion, and headache.",Use saline nasal sprays.; Apply warm compresses to sinuses.; Stay hydrated.; Avoid allergens or pollutants.; Consult doctor if symptoms persist >10 days.
Pneumonia,"A lung infection that causes inflammation in the air sacs, leading to cough, fever, and difficulty breathing.","Complete the full course of antibiotics.; Get vaccinated (pneumococcal, flu).; Rest and hydrate frequently.; Avoid smoking.; Seek medical help if symptoms worsen."
Migraine,"A severe headache often on one side, with nausea, sensitivity to light, and sometimes visual disturbances.","Avoid known migraine triggers (e.g. bright lights, specific foods).; Maintain a consistent sleep schedule.; Use prescribed medications during onset.; Stay hydrated and manage stress.; Track symptoms in a headache diary."
Malaria,"A disease transmitted by mosquito bites, causing cycles of fever, chills, and body aches.",Use insect repellent and mosquito nets.; Take antimalarial drugs when traveling to endemic areas.; Avoid mosquito breeding grounds.; Seek immediate medical help if fever develops.; Wear protective clothing outdoors.
Hypothyroidism,"A condition where the thyroid gland produces too little hormone, causing fatigue, weight gain, and cold sensitivity.",Take thyroid hormone medication daily.; Get regular thyroid function tests.; Eat a balanced diet (iodine-rich if needed).; Avoid skipping medication doses.; Exercise moderately to manage weight.
Hypertension,Also called high blood pressure; it increases the risk of heart problems and often shows no symptoms.,Reduce salt intake.; Exercise regularly and maintain healthy weight.; Avoid tobacco and excessive alcohol.; Monitor blood pressure regularly.; Take medications as prescribed.
Gastritis,"Inflammation of the stomach lining causing stomach pain, nausea, and indigestion.","Avoid spicy, acidic foods.; Limit NSAID use (like ibuprofen).; Eat smaller, more frequent meals.; Avoid alcohol and smoking.; Take antacids or PPIs as prescribed."
Diabetes,A condition where the body has high blood sugar levels due to lack of insulin or resistance to it.,"Monitor blood sugar levels regularly.; Maintain a balanced, low-sugar diet.; Exercise regularly.; Take prescribed insulin or medication as directed.; Avoid skipping meals and stay hydrated."
Depression,"A mental health condition causing persistent sadness, loss of interest, and difficulty concentrating or sleeping.",Seek therapy or counseling.; Exercise regularly to improve mood.; Maintain a healthy sleep schedule.; Avoid alcohol and drugs.; Take prescribed antidepressants as directed.
Dengue,"A mosquito-borne viral disease with high fever, severe headache, rash, and muscle pain.","Avoid mosquito bites (nets, repellent).; Rest and drink plenty of fluids.; Avoid NSAIDs like aspirin (use paracetamol).; Seek care if bleeding or severe pain occurs.; Monitor platelet count regularly."
Chickenpox,A contagious viral infection with an itchy skin rash and red spots that turn into blisters.,Avoid scratching the blisters to prevent infection.; Use calamine lotion or antihistamines.; Stay isolated until all blisters crust over.; Keep fingernails short.; Take paracetamol for fever (avoid aspirin).
Bronchitis,"Inflammation of the bronchial tubes in the lungs, leading to coughing with mucus and chest discomfort.",Stay hydrated and rest.; Avoid smoking or secondhand smoke.; Use a humidifier to ease breathing.; Take cough suppressants as needed.; Avoid cold air exposure.
Asthma,"A chronic condition where airways narrow, leading to wheezing, breathlessness, and coughing.",Use prescribed inhalers correctly.; Avoid known allergens and irritants.; Have an asthma action plan.; Keep indoor air clean and dust-free.; Exercise with caution and under guidance.
Arthritis,"A disorder that causes joint pain, swelling, and stiffness, especially in older adults.",Engage in low-impact exercises.; Maintain a healthy weight.; Take anti-inflammatory medications if prescribed.; Use joint support braces when needed.; Apply hot or cold compresses.
Anemia,"A condition where the body lacks enough healthy red blood cells, leading to fatigue, weakness, and pale skin.","Eat iron-rich foods (e.g. leafy greens, red meat).; Take iron supplements if prescribed.; Avoid tea/coffee with meals (blocks iron).; Vitamin C aids iron absorption.; Get regular blood tests."
